time,x,y,theta
1742565093.625200,88.021464,-1.038828,-3.105750
1742565093.712944,88.018823,-1.034836,-3.105412
1742565094.015188,87.957329,-1.003081,-3.103182
1742565094.116913,87.886256,-1.019467,-3.104208
1742565094.232647,87.838023,-1.014021,-3.099423
1742565094.313529,87.751306,-1.013290,-3.097934
1742565094.419342,87.690841,-1.031449,-3.103714
1742565094.524696,87.596458,-1.014993,-3.097937
1742565094.700640,87.517670,-1.081258,-3.132317
1742565094.821204,87.275580,-1.065116,-3.130398
1742565094.933424,87.156232,-1.133900,-3.140386
1742565095.011581,87.084027,-1.120821,-3.131832
1742565095.116722,86.973408,-1.115066,-3.140497
1742565095.216063,86.903853,-1.123309,-3.129788
1742565095.377115,86.929104,-1.052390,-3.108364
1742565095.426724,86.735387,-1.050637,-3.114322
1742565095.521749,86.582302,-1.072329,-3.111336
1742565095.625346,86.523442,-1.069805,-3.114419
1742565095.718974,86.363434,-1.055128,-3.114594
1742565095.885137,86.402402,-1.087665,-3.118255
1742565095.917401,86.197369,-1.099466,-3.123918
1742565096.030181,86.085475,-1.103370,-3.120795
1742565096.116207,85.983827,-1.141629,-3.123238
1742565096.216334,85.890783,-1.096775,-3.119577
1742565096.329624,85.810261,-1.088313,-3.119366
1742565096.575816,85.756006,-1.116621,-3.123603
1742565096.578505,85.494171,-1.164627,-3.131563
1742565096.616291,85.401866,-1.157618,-3.128251
1742565096.713139,85.298138,-1.132255,-3.127113
1742565096.821990,85.160852,-1.146356,-3.129195
1742565096.973195,85.157100,-1.169208,-3.137102
1742565097.038444,84.960074,-1.116680,-3.130734
1742565097.121283,84.814555,-1.189986,3.139473
1742565097.218085,84.717988,-1.187133,-3.139579
1742565097.329026,84.584323,-1.180680,-3.139773
1742565097.464660,84.579982,-1.189421,3.138334
1742565097.517374,84.357616,-1.188131,3.135019
1742565097.618045,84.250504,-1.247873,3.124091
1742565097.718833,84.197425,-1.210890,3.135030
1742565097.817394,84.090786,-1.157316,3.136071
1742565097.977258,84.096981,-1.179767,3.141026
1742565098.039078,83.836545,-1.220180,3.132636
1742565098.120357,83.724721,-1.231979,3.132957
1742565098.229170,83.641766,-1.148100,-3.135945
1742565098.330305,83.516756,-1.226274,3.133265
1742565098.483173,83.536653,-1.178328,3.136199
1742565098.517802,83.283087,-1.095018,-3.141355
1742565098.617922,83.151869,-1.140622,3.133008
1742565098.706998,83.049403,-1.082797,-3.136537
1742565098.871266,83.056110,-1.165520,3.134445
1742565098.915104,82.796309,-1.184367,3.130594
1742565099.038251,82.729873,-1.207940,3.130959
1742565099.116556,82.606629,-1.201216,3.130256
1742565099.234446,82.520680,-1.194474,3.134309
1742565099.332902,82.443842,-1.132569,-3.139117
1742565099.467511,82.374219,-1.154179,-3.140702
1742565099.523798,82.053975,-1.250302,3.130409
1742565099.616608,81.928876,-1.280822,3.120623
1742565099.711771,81.827180,-1.274736,3.119032
1742565099.818411,81.720282,-1.248761,3.127633
1742565099.976219,81.785675,-1.229682,3.126523
1742565100.031234,81.545121,-1.228257,3.133748
1742565100.152966,81.413993,-1.231951,3.139990
1742565100.216781,81.205767,-1.256423,3.132126
1742565100.385184,81.167593,-1.224042,3.137041
1742565100.416210,80.862834,-1.248225,3.127240
1742565100.527508,80.769704,-1.232263,3.139233
1742565100.623479,80.605643,-1.238710,3.131487
1742565100.772068,80.661260,-1.205172,3.136737
1742565100.827798,80.476680,-1.150337,3.137730
1742565100.925867,80.318370,-1.137490,3.137880
1742565101.027728,80.258276,-1.146381,3.136625
1742565101.118184,80.106378,-1.131865,3.140812
1742565101.369955,80.106982,-1.227950,3.122862
1742565101.511279,80.020135,-1.208207,3.135470
1742565101.514485,79.696784,-1.197778,-3.139430
1742565101.518170,79.562724,-1.202861,-3.135476
1742565101.627127,79.483468,-1.201807,-3.131300
1742565101.837904,79.501958,-1.241447,3.126071
1742565101.841390,79.249687,-1.255274,3.115957
1742565101.930780,79.144141,-1.280952,3.111964
1742565102.023180,79.056723,-1.275055,3.114462
1742565102.118395,78.928652,-1.269666,3.109293
1742565102.300662,78.918182,-1.227548,3.131994
1742565102.324838,78.698085,-1.223350,3.136527
1742565102.420060,78.484813,-1.237138,3.132573
1742565102.593998,78.576510,-1.237493,3.131237
1742565102.619661,78.492259,-1.256645,-3.128220
1742565102.711122,78.331226,-1.231786,-3.116968
1742565102.842070,78.113314,-1.265615,-3.122537
1742565103.000317,78.034179,-1.271272,-3.129808
1742565103.014112,77.807950,-1.277524,-3.139214
1742565103.121383,77.683439,-1.296051,-3.140264
1742565103.234003,77.522241,-1.266592,-3.137662
1742565103.320375,77.501150,-1.274406,-3.132309
1742565103.482189,77.446099,-1.318336,3.135575
1742565103.515876,77.155684,-1.337631,3.136535
1742565103.628754,76.989230,-1.326773,3.137071
1742565103.705210,76.963496,-1.319810,3.133940
1742565103.823074,76.858075,-1.324669,3.132669
1742565104.082707,76.949991,-1.295908,-3.138979
1742565104.121024,76.558034,-1.285109,-3.132128
1742565104.219575,76.544873,-1.288724,-3.136130
1742565104.324639,76.448495,-1.259996,-3.136964
1742565104.423285,76.347541,-1.254738,-3.134224
1742565104.656632,76.424702,-1.267136,-3.122362
1742565104.659966,76.129325,-1.307147,-3.125467
1742565104.704248,75.967337,-1.263197,-3.125270
1742565104.938324,75.957974,-1.341538,3.124193
1742565105.021015,75.725850,-1.356995,3.125120
1742565105.181796,75.910677,-1.422246,3.124359
1742565105.225250,75.906759,-3.377339,-3.112190
1742565105.318980,75.747160,-3.359247,-3.118534
1742565105.433699,75.577403,-3.379866,-3.126836
1742565105.587576,75.133838,-1.379059,3.105120
1742565105.619441,74.934416,-1.459764,3.108479
1742565105.708208,74.783565,-1.396623,3.114345
1742565105.824769,74.706259,-1.342954,3.114821
1742565105.929664,74.559056,-1.356717,3.111937
1742565106.093342,74.498240,-1.346449,3.116151
1742565106.127372,74.205948,-1.355259,3.115391
1742565106.228685,74.075000,-1.350800,3.120256
1742565106.335044,73.913492,-1.359240,3.115138
1742565106.487436,73.855772,-1.301014,3.135635
1742565106.511399,73.510205,-1.318907,3.131209
1742565106.626888,73.400211,-1.320000,3.131385
1742565106.713379,73.333129,-1.348535,3.130197
1742565106.820279,73.208125,-1.342702,3.128720
1742565106.966832,73.211179,-1.291156,3.132197
1742565107.016416,72.994934,-1.284183,3.132335
1742565107.115048,72.871820,-1.310964,3.123864
1742565107.229508,72.776237,-1.312776,3.131258
1742565107.334858,72.666283,-1.307250,3.131596
1742565107.419835,72.590335,-1.316491,3.129225
1742565107.577648,72.616668,-1.331796,3.128981
1742565107.620596,72.445912,-1.342674,3.122520
1742565107.708928,72.347714,-1.338684,3.128767
1742565107.833939,72.289613,-1.292164,3.133692
1742565107.924040,72.169960,-1.340427,3.133484
1742565108.019952,72.047594,-1.356243,-3.138957
1742565108.184935,72.040627,-1.359781,-3.137025
1742565108.220309,71.831568,-1.349643,-3.132127
1742565108.317102,71.708937,-1.372943,-3.136889
1742565108.416299,71.622316,-1.386825,-3.135040
1742565108.518775,71.567011,-1.381025,-3.138368
1742565108.624894,71.449314,-1.394673,-3.135889
1742565108.773947,71.480693,-1.348407,-3.127780
1742565108.817175,71.278040,-1.340011,-3.127140
1742565108.931140,71.171232,-1.351126,-3.130625
1742565109.025205,71.061838,-1.332056,-3.125428
1742565109.122494,70.938221,-1.338885,-3.130625
1742565109.278157,70.933920,-1.334984,-3.127701
1742565109.320862,70.774344,-1.367623,-3.131641
1742565109.426186,70.686295,-1.366776,-3.129115
1742565109.540209,70.647735,-1.327184,-3.124651
1742565109.615857,70.564276,-1.339676,-3.123620
1742565109.707256,70.485609,-1.359831,-3.129539
1742565109.825933,70.431374,-1.341248,-3.123052
1742565109.993188,70.337323,-1.453371,3.118031
1742565110.025545,70.125647,-1.453072,3.113084
1742565110.121534,70.021415,-1.459056,3.113565
1742565110.225363,69.912883,-1.470148,3.112157
1742565110.311984,69.824164,-1.446146,3.117994
1742565110.560090,69.834832,-1.445842,3.119259
1742565110.563819,69.679285,-1.371448,3.129554
1742565110.617415,69.532083,-1.473538,3.113461
1742565110.707061,69.449349,-1.443558,3.119159
1742565110.819176,69.382820,-1.428134,3.121018
1742565110.916067,69.241725,-1.482981,3.109352
1742565111.075079,69.290471,-1.437773,3.126066
1742565111.118542,69.149232,-1.416165,3.132380
1742565111.224867,68.974741,-1.432894,3.126295
1742565111.318857,68.902731,-1.460183,3.130375
1742565111.415011,68.828486,-1.426906,3.132450
1742565111.519562,68.720022,-1.424655,3.131406
1742565111.684795,68.686686,-1.431312,3.133362
1742565111.710168,68.538957,-1.435587,-3.135235
1742565111.817266,68.417506,-1.462766,-3.123597
1742565111.963220,68.349726,-1.451494,-3.119074
1742565112.026757,68.246172,-1.436443,-3.116782
1742565112.116915,68.196856,-1.458171,-3.121391
1742565112.273105,68.171299,-1.380602,-3.108228
1742565112.325955,67.989377,-1.404220,-3.111620
1742565112.428509,67.854429,-1.385529,-3.112082
1742565112.529756,67.780714,-1.369073,-3.114074
1742565112.617349,67.664719,-1.433767,-3.121061
1742565112.711384,67.603952,-1.382644,-3.113764
1742565112.860153,67.618034,-1.417784,-3.117929
1742565112.918066,67.394350,-1.443103,-3.135961
1742565113.038452,67.241033,-1.413957,-3.134905
1742565113.145492,67.103234,-1.369578,-3.135521
1742565113.264727,67.096061,-1.390902,-3.127484
1742565113.329868,66.841293,-1.444642,-3.127470
1742565113.441783,66.725339,-1.469200,-3.119545
1742565113.516891,66.596259,-1.447446,-3.117886
1742565113.637168,66.479634,-1.447741,-3.120767
1742565113.752743,66.484405,-1.422182,-3.116991
1742565113.830999,66.167535,-1.420623,-3.104401
1742565113.925364,66.036457,-1.433315,-3.110705
1742565114.025055,65.958092,-1.432893,-3.108927
1742565114.134560,65.837357,-1.453203,-3.105686
1742565114.266693,65.903629,-1.458187,-3.116166
1742565114.319715,65.719671,-1.476728,-3.110593
1742565114.424723,65.539013,-1.475159,-3.112055
1742565114.522015,65.439411,-1.493950,-3.100218
1742565114.666873,65.378540,-1.532046,-3.114839
1742565114.707238,65.139888,-1.504467,-3.112588
