time,x,y,theta
1746528000.251498,135.777222,10.822551,0.047542
1746528000.352132,135.905975,10.817334,0.050306
1746528000.453912,136.038528,10.790749,0.051685
1746528000.563466,136.093964,10.772820,0.056265
1746528000.678274,136.228088,10.822352,0.051601
1746528000.751226,136.286743,10.813847,0.048286
1746528000.866469,136.371613,10.837736,0.053761
1746528000.972636,136.490097,10.851837,0.051966
1746528001.096931,136.591034,10.838283,0.054048
1746528001.220112,136.716949,10.853205,0.054483
1746528001.287436,136.817093,10.880724,0.051132
1746528001.382960,136.902679,10.916965,0.041339
1746528001.477660,136.991867,10.901648,0.052716
1746528001.575741,137.088562,10.940169,0.039896
1746528001.760316,137.164444,10.794872,0.060681
1746528001.815133,137.262894,10.897453,0.050556
1746528001.884453,137.333328,10.917052,0.047453
1746528001.955211,137.416595,10.920888,0.045563
1746528002.053238,137.509995,10.932678,0.044704
1746528002.152484,137.590027,10.945227,0.044826
1746528002.252656,137.702576,10.943871,0.045352
1746528002.354855,137.757736,10.899660,0.050041
1746528002.523574,137.847366,10.984008,0.041938
1746528002.706514,137.930283,10.939552,0.042927
1746528002.765865,138.027313,10.962704,0.040591
1746528003.045931,138.122650,11.000401,0.031483
1746528003.279213,138.246048,10.957439,0.039240
1746528003.350379,138.383301,10.993774,0.032561
1746528003.469212,138.490829,10.952156,0.036559
1746528003.540593,138.616150,10.945671,0.036938
1746528003.610214,138.696762,10.967625,0.034469
1746528003.671846,138.830902,10.989586,0.034208
1746528003.741738,138.967499,10.973431,0.032852
1746528003.806196,139.049622,11.027550,0.029499
1746528003.872849,139.176224,11.022982,0.028186
1746528003.940633,139.283890,11.009882,0.031994
1746528004.021888,139.400650,11.009133,0.026484
1746528004.097166,139.511902,11.000756,0.019538
1746528004.177454,139.661667,11.035335,0.013400
1746528004.265028,139.767349,11.050206,0.009785
1746528004.337597,139.910767,11.069529,0.009248
1746528004.396727,139.997604,11.063481,0.007663
1746528004.458730,140.033371,11.052685,0.010565
1746528004.552214,140.101562,11.048622,0.010679
1746528004.650985,140.161087,11.058503,0.012220
1746528004.751032,140.269104,11.055330,0.011793
1746528004.853297,140.389359,11.064107,0.011728
1746528004.952757,140.515091,11.044152,0.016211
1746528005.052556,140.577957,11.009174,0.018323
1746528005.155873,140.651169,10.998063,0.024829
1746528005.253556,140.732910,11.039416,0.025894
1746528005.352225,140.813065,11.060906,0.024481
1746528005.451169,140.916351,11.076401,0.028826
1746528005.552439,140.998291,11.058890,0.028454
