time,x,y,theta
1732883435.823843,82.835146,3.876888,-0.009396
1732883435.923894,82.920809,3.878580,-0.006583
1732883436.023957,83.006930,3.885310,-0.007402
1732883436.123919,83.106514,3.890127,0.002307
1732883436.223726,83.180726,3.857091,0.043104
1732883436.323839,83.266115,3.851998,0.039824
1732883436.523842,83.365401,3.851102,0.036068
1732883436.723815,83.464269,3.846524,0.047812
1732883436.823882,83.570621,3.861728,0.012089
1732883436.923794,83.670704,3.856190,0.001693
1732883437.023820,83.772755,3.866511,-0.008356
1732883437.123878,83.875570,3.862868,-0.000653
1732883437.223917,83.998111,3.872415,-0.009524
1732883437.323988,84.073006,3.871208,-0.004110
1732883437.424015,84.180246,3.812193,0.044792
1732883437.524078,84.272914,3.794949,0.048974
1732883437.624016,84.372089,3.778228,0.056924
1732883437.723866,84.482531,3.779091,0.040948
1732883437.823820,84.597470,3.819338,-0.014197
1732883437.923631,84.720741,3.864735,-0.057812
1732883438.023668,84.802240,3.791175,0.031066
1732883438.223728,84.929398,3.843718,-0.023712
1732883438.323642,85.020883,3.837675,-0.003987
1732883438.423627,85.124609,3.834819,-0.004394
1732883438.523599,85.218332,3.822979,-0.002841
1732883438.623634,85.321556,3.826177,0.009032
1732883438.723486,85.418199,3.835338,-0.005231
1732883438.823584,85.506443,3.845041,-0.010478
1732883438.923588,85.611546,3.841897,-0.012475
1732883439.023580,85.703283,3.837732,-0.001043
1732883439.123603,85.793391,3.813734,0.023768
1732883439.223758,85.893277,3.799914,0.043218
1732883439.323833,86.005235,3.823768,0.005880
1732883439.424096,86.105782,3.823222,-0.005713
1732883439.523977,86.213733,3.851074,-0.042366
1732883439.623871,86.304507,3.853397,-0.035676
1732883439.723871,86.408176,3.848828,-0.017902
1732883439.823833,86.522210,3.845160,-0.006221
1732883439.923733,86.626771,3.846637,-0.005913
1732883440.023677,86.722975,3.877502,-0.050472
1732883440.123458,86.838850,3.882691,-0.049646
1732883440.223378,86.938414,3.879237,-0.023911
1732883440.423195,87.070585,3.873803,0.024621
1732883440.523459,87.179148,3.899421,-0.008922
1732883440.623582,87.283554,3.876691,0.040057
1732883440.723716,87.394614,3.891591,0.015127
1732883440.823926,87.508112,3.895543,0.010255
1732883440.923928,87.627683,3.903040,0.010259
1732883441.024054,87.733141,3.892735,0.035346
1732883441.123757,87.860547,3.913728,-0.002448
1732883441.223256,87.963123,3.901506,0.068567
1732883441.323378,88.092416,3.921441,0.031408
1732883441.423330,88.202840,3.927072,0.039283
1732883441.523378,88.304956,3.928542,0.054770
1732883441.623374,88.422258,3.940680,0.021306
1732883441.723104,88.524766,3.943206,0.051215
1732883441.823621,88.633038,3.948928,0.039892
